Date/Time,Min (count/min),Max (count/min),Avg (count/min),Source
2022-01-06 09:12:57,99,99,99,Alan’s Apple Watch
2022-01-06 09:12:58,99,99,99,Alan’s Apple Watch
2022-01-06 09:13:05,95,95,95,Alan’s Apple Watch
2022-01-06 09:13:08,97,97,97,Alan’s Apple Watch
2022-01-06 09:13:17,97,97,97,Alan’s Apple Watch
2022-01-06 09:13:18,97,97,97,Alan’s Apple Watch
2022-01-06 09:13:27,102,102,102,Alan’s Apple Watch
2022-01-06 09:13:32,104,104,104,Alan’s Apple Watch
2022-01-06 09:13:36,104,104,104,Alan’s Apple Watch
2022-01-06 09:13:38,103,103,103,Alan’s Apple Watch
2022-01-06 09:13:47,93,93,93,Alan’s Apple Watch
2022-01-06 09:13:52,100,100,100,Alan’s Apple Watch
2022-01-06 09:13:57,102,102,102,Alan’s Apple Watch
2022-01-06 09:14:00,103,103,103,Alan’s Apple Watch
2022-01-06 09:14:03,103,103,103,Alan’s Apple Watch
2022-01-06 09:14:08,108,108,108,Alan’s Apple Watch
2022-01-06 09:14:14,116,116,116,Alan’s Apple Watch
2022-01-06 09:14:18,118,118,118,Alan’s Apple Watch
2022-01-06 09:17:27,105,105,105,Alan’s Apple Watch
2022-01-06 09:17:32,100,100,100,Alan’s Apple Watch
2022-01-06 09:17:33,99,99,99,Alan’s Apple Watch
2022-01-06 09:17:38,100,100,100,Alan’s Apple Watch
2022-01-06 09:17:43,100,100,100,Alan’s Apple Watch
2022-01-06 09:18:07,97,97,97,Alan’s Apple Watch
2022-01-06 09:18:12,100,100,100,Alan’s Apple Watch
2022-01-06 09:18:13,100,100,100,Alan’s Apple Watch
2022-01-06 09:18:18,101,101,101,Alan’s Apple Watch
2022-01-06 09:18:23,105,105,105,Alan’s Apple Watch
2022-01-06 09:18:37,110,110,110,Alan’s Apple Watch
2022-01-06 09:18:38,110,110,110,Alan’s Apple Watch
2022-01-06 09:18:43,109,109,109,Alan’s Apple Watch
2022-01-06 09:18:48,113,113,113,Alan’s Apple Watch
2022-01-06 09:19:21,131,131,131,Alan’s Apple Watch
2022-01-06 09:19:24,133,133,133,Alan’s Apple Watch
2022-01-06 09:19:33,134,134,134,Alan’s Apple Watch
2022-01-06 09:20:22,126,126,126,Alan’s Apple Watch
2022-01-06 09:20:23,126,126,126,Alan’s Apple Watch
2022-01-06 09:20:28,124,124,124,Alan’s Apple Watch
2022-01-06 09:20:33,125,125,125,Alan’s Apple Watch
2022-01-06 09:20:38,126,126,126,Alan’s Apple Watch
2022-01-06 09:20:47,132,132,132,Alan’s Apple Watch
2022-01-06 09:20:52,130,130,130,Alan’s Apple Watch
2022-01-06 09:20:54,129,129,129,Alan’s Apple Watch
2022-01-06 09:20:58,128,128,128,Alan’s Apple Watch
2022-01-06 09:21:03,126,126,126,Alan’s Apple Watch
2022-01-06 09:21:08,126,126,126,Alan’s Apple Watch
2022-01-06 09:21:13,129,129,129,Alan’s Apple Watch
2022-01-06 09:21:46,141,141,141,Alan’s Apple Watch
2022-01-06 09:21:48,139,139,139,Alan’s Apple Watch
2022-01-06 09:22:32,136,136,136,Alan’s Apple Watch
2022-01-06 09:22:33,137,137,137,Alan’s Apple Watch
2022-01-06 09:24:22,147,147,147,Alan’s Apple Watch
2022-01-06 09:24:26,150,150,150,Alan’s Apple Watch
2022-01-06 09:24:28,148,148,148,Alan’s Apple Watch
2022-01-06 09:24:37,140,140,140,Alan’s Apple Watch
2022-01-06 09:24:39,140,140,140,Alan’s Apple Watch
2022-01-06 09:24:43,140,140,140,Alan’s Apple Watch
